100 200
67 -43 -34
54 79 -74
58 -52 -29
4 -13 93
94 -28 -57
-84 -26 -34
-9 94 89
43 3 41
-5 -89 -84
-11 29 -11
10 72 58
52 20 -38
80 -34 96
-10 -50 93
-36 18 31
-82 -54 -6
-81 95 -82
77 95 2
-56 -90 -13
-49 -79 -11
60 88 -91
-17 98 68
96 59 43
-36 97 -11
72 5 49
56 12 67
13 -98 80
91 -60 65
54 -78 4
-54 -15 -6
-96 -57 -72
-20 -35 41
-38 26 46
-23 -86 -10
-34 -25 -67
-3 -57 40
43 34 17
-42 -77 -84
94 73 -91
6 34 65
7 -97 -56
-1 -49 96
-12 97 14
82 -100 -46
-95 -11 -4
-25 -62 50
32 -41 51
64 -6 26
-89 -26 18
-72 -2 47
5 37 64
11 -34 97
-62 12 -65
83 82 49
-87 -89 92
-43 -6 40
66 48 39
-61 16 73
29 76 -63
-77 43 -57
13 -30 69
-44 -51 66
15 45 25
28 60 -84
-83 -98 47
13 63 -10
-37 -62 22
-33 9 90
1 92 79
89 4 10
46 37 -5
32 28 33
-51 -22 28
-76 -40 -23
-67 -27 -63
78 -19 27
12 30 76
-8 -98 -100
51 -31 39
-4 86 63
-8 -5 40
-14 15 97
22 92 -38
93 -62 5
6 -23 52
30 35 -44
-51 9 -8
-46 -92 54
7 -68 -16
34 18 29
36 29 76
11 -65 -21
-100 47 32
30 49 -72
-91 -64 72
-41 -26 61
93 48 -1
-49 -86 -6
19 -94 76
66 -27 58
-99 -71 15
63 16 -25
20 99 46
36 -22 -8
-84 78 80
47 -5 -81
-47 -84 73
37 86 19
31 78 -33
-3 36 -58
1 62 -14
79 33 -40
27 50 -8
-69 71 -92
90 51 -92
-36 -78 75
94 -27 -91
-5 -22 -31
7 38 74
81 -89 47
4 77 82
18 -99 10
32 66 69
2 97 61
-7 -41 18
73 25 -38
-97 25 -74
24 -31 88
46 85 -80
26 99 71
70 -52 89
59 -72 60
-82 -79 5
89 -32 36
-48 31 42
-37 49 -71
-9 72 52
-13 84 82
-22 -66 -17
-1 66 10
43 95 74
-28 -77 -68
31 2 -57
7 93 67
-2 34 11
90 43 -11
-8 68 -12
-27 95 36
100 39 -93
-17 -38 70
20 20 64
-52 100 -49
-6 -6 76
-56 -33 42
-36 -30 -36
-78 68 42
53 -87 45
-95 -54 49
30 94 -87
-71 69 68
-3 34 26
18 45 80
-91 17 77
35 97 46
-28 55 96
61 38 34
-30 11 78
-14 -53 -82
50 58 75
20 -66 93
-80 25 -57
-21 85 -14
-44 52 -78
26 -67 26
-29 41 80
-34 -66 65
-3 57 83
55 -67 -18
-79 -86 47
89 84 97
91 -35 7
-94 80 35
55 -10 8
-51 -80 18
-61 -43 -5
-37 -66 14
-96 44 -84
-9 -79 -41
-70 32 -100
26 27 88
-60 51 46
-1 41 62
19 94 -79
-26 31 -38
-83 11 -30
-15 -24 -92
53 -92 -5
-1 -24 92
-39 54 38
-79 8 100
